iter	MultiClass
0	2.126908567
1	1.996801847
2	1.856994498
3	1.752686177
4	1.653301373
5	1.574585543
6	1.483550728
7	1.395686853
8	1.369515875
9	1.296543551
10	1.212975203
11	1.157937785
12	1.119667002
13	1.065512886
14	1.005538244
15	0.9587010518
16	0.9039967077
17	0.8690232328
18	0.8431664451
19	0.8097109263
20	0.7853950439
21	0.7591081513
22	0.7454722845
23	0.7067858108
24	0.6729647231
25	0.6473506705
26	0.6300682714
27	0.6031181404
28	0.5716260163
29	0.5427006669
30	0.5173241939
31	0.4983305571
32	0.4794916069
33	0.4697330119
34	0.4551944694
35	0.440950852
36	0.4316834658
37	0.4141230604
38	0.4050742088
39	0.3979438434
40	0.3891980973
41	0.3788120338
42	0.3746117483
43	0.3654571453
44	0.3603581767
45	0.3473829988
46	0.3399705193
47	0.3329360857
48	0.3290250523
49	0.3203301678
