iter	Passed	Remaining
0	31	1546
1	62	1488
2	91	1435
3	121	1396
4	154	1388
5	185	1363
6	224	1377
7	260	1367
8	290	1321
9	320	1281
10	352	1248
11	383	1213
12	414	1178
13	446	1149
14	477	1113
15	506	1076
16	538	1045
17	568	1011
18	599	978
19	633	949
20	664	917
21	694	884
22	725	851
23	756	819
24	788	788
25	819	756
26	853	726
27	884	695
28	916	663
29	948	632
30	979	600
31	1010	568
32	1042	537
33	1077	506
34	1108	475
35	1140	443
36	1172	411
37	1204	380
38	1235	348
39	1266	316
40	1297	284
41	1331	253
42	1367	222
43	1400	190
44	1430	158
45	1460	127
46	1490	95
47	1524	63
48	1557	31
49	1589	0
