Name,Ingredients,Cuisine
Fish Tacos - Baja Style,"all-purpose flour,baking powder,beer,cayenne,cilantro,cilantro leaves,corn tortillas,dry mustard,fish,fresh ground black pepper,garlic,garlic powder,green cabbage,guacamole,kosher salt,lime juice,lime wedges,low-fat yogurt,mayonnaise,Mexican oregano,pico de gallo,salsa,vegetable oil,white onions",mexican
Margarita,"lemon juice,lime juice,tequila,triple sec",mexican
Menudo Rojo (Red Menudo),"chili peppers,corn tortillas,crushed red pepper flakes,dried oregano,flour tortillas,fresh cilantro,garlic cloves,green onions,ground black pepper,ground red pepper,hominy,lemon wedges,lime wedges,salt,tripe,water,white onions",mexican
Birria,"bay leaves,beef,black peppercorns,cider vinegar,corn tortillas,diced tomatoes,dried guajillo chilies,dried Mexican oregano,dried oregano,garlic cloves,goat meat,ground cinnamon,ground cumin,lamb,limes,onions,pork,salt,sesame seeds,sugar,whole cloves",mexican
Machaca Burritos,"butter,eggs,grape tomatoes,meat,mozzarella cheese,onions,tortillas",mexican
Chilaquiles with Chicken,"chihuahua cheese,cooked chicken,corn tortilla strips,green tomatillo sauce,monterey jack cheese,sour cream,vegetable oil",mexican
Nopal Breakfast,"cactus pieces,cilantro,limes,oil,onions,salt,tomatoes",mexican
Watermelon Agua Fresca,"fresh lime juice,sugar,water,watermelon",mexican
Enfrijoladas,"chicken broth,corn tortillas,dried oregano,garlic cloves,manchego cheese,Mexican crema,monterey jack cheese,olive oil,onions,pinto beans,plum tomatoes,salt & freshly ground black pepper,serrano chilies,sour cream",mexican
Morisqueta Con Chorizo,"canola oil,chorizo sausage,cooked white rice,lard,sea salt,tomatoes,white onions",mexican
Memelas,"fresh coriander,jalapenos,masa harina,mexican cheese,olive oil,queso fresco,salt,serrano chilies,tomatoes,water,white onions",mexican
Pork Carnitas,"lard,lime juice,pork,salt,sugar",mexican
Mexican Style Meat and Vegetable Stew - Azteca's Molcajete,"avocados,bacon,beef,beef bouillon granules,boiling water,boneless skinless chicken breasts,butter,chicken bouillon granules,cider vinegar,cocoa powder,cumin,dried ancho chile powder,dry sherry,hot sauce,jalapenos,monterey jack cheese,roasted garlic,salt & freshly ground black pepper,scallions,small mushrooms,sweet onions,Tabasco sauce,tomato sauce,vegetable oil",mexican
El Rey's Fish Tacos,"avocados,baking powder,beer,cabbage,canola oil,cilantro leaves,corn tortillas,cornstarch,eggs,fish,flour,fresh cilantro leaves,garlic cloves,green chili sauce,Italian tomatoes,jalapeno peppers,lime wedges,limes,mayonnaise,olive oil,onions,peanut oil,red bell peppers,salt,salt & freshly ground black pepper,serrano peppers,tomatillos,tomatoes",mexican
Capirotada,"cheddar cheese,cinnamon sticks,French bread,green onions,pecans,piloncillo cones,raisins,soft margarine,water,white onions",mexican
"Mole Coloradito Enchiladas, from Rick Bayless","black pepper,blanched almonds,breadcrumbs,chicken,chicken broth,corn tortillas,dried ancho chiles,garlic cloves,ground cinnamon,ground cloves,mexican chocolate,onions,oregano,parsley,raisins,salt,sesame seeds,sugar,tomatoes,vegetable oil",mexican
"Cuernitos Menonitas (Mennonite ""little Horns"")","cheese,crescent roll dough,eggs,salami,water",mexican
Cabrito (goat) and Red Gravy,"cumin,flour,goat meat,onions,red chili powder,salt and pepper",mexican
Guava Cheese Flan,"cream cheese,eggs,evaporated milk,guava paste,pure vanilla extract,sugar,sweetened condensed milk,water",mexican
Michelada Authentic,"beer,Clamato juice,fresh coarse ground black pepper,limes, juice of,sea salt,Tabasco sauce,Worcestershire sauce",mexican
Chicken Pozole,"chicken broth,chicken thighs,dried oregano,garlic cloves,hominy,jalapeno chiles,limes,onions,radishes,red cabbage,salt,scallions,tomatillos,tortilla chips,tostadas,water,white onions",mexican
Aguachiles,"avocados,cilantro,cucumbers,fresh shrimp,limes,red onions,salt,serrano chilies,tostadas",mexican
Churros from Casa Marcela,"all-purpose flour,granulated sugar,ground cinnamon,salt,unsalted butter,vegetable oil,water",mexican
Mexican Elote,"cilantro,corn,Cotija cheese,dried ancho chile powder,garlic,hot sauce,kosher salt,limes,mayonnaise,Mexican crema",mexican
Nopalitos Con Huevos Breakfast Tacos,"black pepper,butter,canola oil,chopped tomatoes,cilantro,corn tortillas,eggs,garlic cloves,kosher salt,milk,nopalitos,onions",mexican
Best Albondigas Soup,"carrots,celery,chicken broth,chorizo sausage,cilantro,cilantro leaves,cooked rice,diced tomatoes,eggs,garlic cloves,ground cumin,lean ground beef,onions,oregano,pepper,salt,zucchini",mexican
Horchata,"blanched almonds,cinnamon sticks,ice,milk,sugar,white rice",mexican
Restaurant Guacamole,"avocados,cayenne pepper,garlic cloves,ground cumin,limes, juice of,onions,pepper,salt,tomatoes",mexican
